kappa,run,interval,wind_dispatched,wind_revenue
20,3,10,165.3108399291325,8265.541996456624
20,3,11,119.2041979340388,5960.20989670194
20,3,12,0.0,0.0
20,3,13,99.10488302885608,4955.244151442804
20,3,14,0.0,0.0
20,3,15,0.0,0.0
20,3,16,300.0,14856.89588218195
20,3,17,300.0,15233.085156946901
20,3,18,300.0,16271.900623588139
20,3,19,258.00354537318253,12900.177268659127
20,3,20,300.0,15039.322832071044
20,3,21,224.21390267618142,10075.471037131052
20,3,22,300.0,15631.49080383325
20,3,23,257.20787737844057,12860.393868922029
20,3,24,300.0,15436.393004214642
20,4,1,300.0,15990.009161785038
20,4,2,300.0,15560.875165182528
20,4,3,258.35151867394427,12917.575933697213
20,4,4,300.0,15808.105798849096
20,4,5,293.17470265942814,13976.0422403696
20,4,6,288.2553014994987,14164.412483505603
20,4,7,130.82936457098606,6541.468228549303
20,4,8,300.0,15405.703159474744
20,4,9,0.0,0.0
20,4,10,150.53080460064098,7526.540230032049
20,4,11,0.0,0.0
20,4,12,0.0,0.0
20,4,13,124.3614327052419,6218.071635262095
20,4,14,146.61718801812071,7330.859400906036
20,4,15,0.0,0.0
20,4,16,300.0,12593.267822119193
20,4,17,300.0,14879.418063678162
20,4,18,254.49284933415254,12724.642466707626
20,4,19,300.0,13374.753146666759
20,4,20,300.0,15088.615057863062
20,4,21,300.0,13612.624759588125
20,4,22,260.3631220543143,12905.52580406943
20,4,23,300.0,15457.14664205931
20,4,24,267.3014803294209,13299.873956475056
20,5,1,300.0,14515.136410463085
20,5,2,237.89590807304444,11894.795403652222
20,5,3,300.0,15218.859443860487
20,5,4,247.43092112509385,10556.800620695361
20,5,5,300.0,15387.546417069712
20,5,6,300.0,15503.086095518445
20,5,7,300.0,15490.718532756431
20,5,8,285.74403283226025,14287.201641613012
20,5,9,0.0,0.0
20,5,10,155.5258947724193,7776.294738620964
20,5,11,0.0,0.0
20,5,12,103.22385351288608,5161.1926756443045
20,5,13,115.63970287432778,5781.985143716389
20,5,14,176.96635973674142,8848.317986837072
20,5,15,0.0,0.0
20,5,16,35.978945118117736,1798.9472559058868
20,5,17,157.08846178892804,7854.423089446402
20,5,18,254.19801406781085,12709.900703390542
20,5,19,300.0,14709.066868776512
20,5,20,270.7680284727196,13538.40142363598
20,5,21,264.02054319188767,13201.027159594383
20,5,22,235.74122700815064,11787.061350407532
20,5,23,300.0,14927.231538750922
20,5,24,300.0,14028.537270534756
20,6,1,251.50650558482926,12575.325279241462
20,6,2,242.91083760295408,12145.541880147704
20,6,3,300.0,15044.541564514462
20,6,4,300.0,15058.919792223154
20,6,5,300.0,15714.692282984754
20,6,6,300.0,15035.59207549012
20,6,7,146.1062832502787,7305.314162513934
20,6,8,274.21748870095803,13710.874435047901
20,6,9,202.31719939648985,10115.859969824493
20,6,10,0.0,0.0
20,6,11,114.30867195548694,5715.433597774347
20,6,12,0.0,0.0
20,6,13,0.0,0.0
20,6,14,135.72224553317085,6786.112276658542
20,6,15,0.0,0.0
20,6,16,55.71071305512214,2785.535652756107
20,6,17,300.0,15146.399360702711
20,6,18,300.0,15063.449023664827
20,6,19,300.0,12843.332724786413
20,6,20,227.28078957989158,11364.039478994579
20,6,21,300.0,14875.442736374955
20,6,22,300.0,15364.02037448556
20,6,23,238.11617635476148,11905.808817738074
20,6,24,211.11952745112842,10555.97637255642
20,7,1,300.0,15664.756190605267
20,7,2,300.0,15994.80513544536
20,7,3,300.0,14553.02569230928
20,7,4,300.0,16584.13338973104
20,7,5,258.1992321085286,11820.26292382543
20,7,6,300.0,15469.093531602002
20,7,7,300.0,15034.982837908381
20,7,8,294.91778710039716,14745.889355019859
20,7,9,0.0,0.0
20,7,10,0.0,0.0
20,7,11,0.0,0.0
20,7,12,101.31471463033688,5065.735731516844
20,7,13,0.0,0.0
20,7,14,148.32918414003655,7416.459207001827
20,7,15,196.38653198502527,9819.326599251264
20,7,16,38.32799832807336,1916.3999164036682
20,7,17,300.0,15116.06421943585
20,7,18,300.0,14281.71270858662
20,7,19,277.02470850559246,12481.805300926571
20,7,20,258.58128184608233,12929.064092304117
20,7,21,273.70868107347917,13685.434053673958
20,7,22,209.85614861343015,10492.807430671508
20,7,23,300.0,15698.153654759044
20,7,24,217.82131241591173,10891.065620795587
20,8,1,252.79376058898492,12639.688029449246
20,8,2,300.0,14531.360475598309
20,8,3,220.79576716376778,11039.788358188389
20,8,4,300.0,15387.289443210804
20,8,5,300.0,13157.46178363861
20,8,6,300.0,13191.520869030677
20,8,7,300.0,15062.368938599162
20,8,8,25.013831154111017,1250.6915577055508
20,8,9,0.0,0.0
20,8,10,156.1362160348708,7806.810801743541
20,8,11,0.0,0.0
20,8,12,73.91586792144062,3695.793396072031
20,8,13,0.0,0.0
20,8,14,193.2999602264996,9664.99801132498
20,8,15,0.0,0.0
20,8,16,23.104209748378594,1155.2104874189297
20,8,17,300.0,15983.37759846137
20,8,18,300.0,14830.069586971307
20,8,19,251.38546255651704,12569.273127825852
20,8,20,246.87745494736362,12343.872747368181
20,8,21,300.0,15060.463923595713
20,8,22,300.0,15165.30116874724
20,8,23,208.58765360430175,10429.382680215087
20,8,24,300.0,14971.7068536593
20,9,1,269.8802736783034,13494.013683915171
20,9,2,300.0,14314.344818045638
20,9,3,248.54034355405872,12427.017177702935
20,9,4,239.27773929276043,11963.88696463802
20,9,5,300.0,15256.727970570226
20,9,6,300.0,14945.505067812144
20,9,7,130.97143528221523,6548.571764110761
20,9,8,56.17901710460433,2808.9508552302163
20,9,9,212.67041554033096,10633.520777016549
20,9,10,138.34628290179933,6917.314145089967
20,9,11,0.0,0.0
20,9,12,0.0,0.0
20,9,13,104.35581975015828,5217.790987507914
20,9,14,0.0,0.0
20,9,15,0.0,0.0
20,9,16,62.03764610598989,3101.882305299495
20,9,17,143.94416959272553,7197.208479636276
20,9,18,216.83128953605024,10841.564476802512
20,9,19,204.6156881007629,10230.784405038145
20,9,20,300.0,15982.59763258758
20,9,21,267.99291855497256,12970.19283039455
20,9,22,261.0723246087798,13053.61623043899
20,9,23,300.0,15629.6288280449
20,9,24,209.82132359901925,9979.714158177889
20,10,1,300.0,15477.420230522896
20,10,2,267.6606421825859,11894.120731277812
20,10,3,250.3154649457291,12515.773247286455
20,10,4,237.58939002433237,11879.46950121662
20,10,5,256.1078795676906,12805.393978384529
20,10,6,218.19533017234835,10591.451232396914
20,10,7,173.6989736188151,8684.948680940755
20,10,8,293.70524157374746,14576.625717591294
20,10,9,0.0,0.0
20,10,10,144.70405132135045,7235.202566067523
20,10,11,146.9114173528859,7345.5708676442955
20,10,12,0.0,0.0
20,10,13,115.4030524142828,5770.15262071414
20,10,14,121.8914241991605,6094.571209958025
20,10,15,0.0,0.0
20,10,16,53.9458969921252,2697.29484960626
20,10,17,138.91411347017197,6945.705673508599
20,10,18,300.0,15748.254121452319
20,10,19,300.0,15697.997289550607
20,10,20,262.9551447128267,13147.757235641337
20,10,21,253.5516174856649,12660.636219307273
20,10,22,269.82505409188036,13470.739601564523
20,10,23,253.3213505884903,12666.067529424516
20,10,24,300.0,15600.573053191276
100,1,1,300.0,15124.409823901722
100,1,2,300.0,11884.957678245653
100,1,3,239.32917328691792,11966.458664345897
100,1,4,300.0,7294.71872625928
100,1,5,261.9680884256712,13098.404421283562
100,1,6,300.0,8588.609477249558
100,1,7,300.0,8010.4592026708015
100,1,8,36.26216477999151,1813.1082389995754
100,1,9,219.19726896258635,10959.863448129317
100,1,10,171.93031105086345,8596.515552543173
100,1,11,101.96230444572336,5098.115222286168
100,1,12,91.71005464010489,4585.502732005244
100,1,13,0.0,0.0
100,1,14,0.0,0.0
100,1,15,238.4314869302999,11921.574346514995
100,1,16,281.5614759807509,10099.483777057563
100,1,17,300.0,12339.610248369634
100,1,18,248.59112532544157,12429.556266272079
100,1,19,300.0,10970.977300388924
100,1,20,263.93506704378285,13196.753352189142
100,1,21,300.0,9099.63575578024
100,1,22,251.00667151566506,12550.333575783254
100,1,23,300.0,15166.994596659843
100,1,24,239.32085579178215,11966.042789589108
100,2,1,251.5164615923086,10309.29360268699
100,2,2,261.2241230092993,13061.206150464966
100,2,3,300.0,2656.5280099465017
100,2,4,239.68390765458287,11984.195382729144
100,2,5,300.0,9696.6688363528
100,2,6,300.0,12961.085455394219
100,2,7,300.0,15004.589883663935
100,2,8,0.0,0.0
100,2,9,214.7266012595918,10736.33006297959
100,2,10,0.0,0.0
100,2,11,126.56508027693928,6328.254013846964
100,2,12,0.0,0.0
100,2,13,100.74803641197946,5037.401820598972
100,2,14,185.49403131210227,9274.701565605114
100,2,15,0.0,0.0
100,2,16,290.7360478388836,7101.763126576505
100,2,17,300.0,7291.47716786109
100,2,18,300.0,14325.610253995288
100,2,19,300.0,12071.632381674613
100,2,20,300.0,8732.285585703947
100,2,21,300.0,9282.61498968806
100,2,22,300.0,10835.080349382326
100,2,23,254.07475109340885,12703.737554670442
100,2,24,233.9233484633521,11696.167423167606
100,3,1,300.0,10063.157082869888
