qu,run,t,dispatched_wind_MWh,wind_revenue_USD
20,4,12,0.0,0.0
20,4,13,85.777538,4288.876897
20,4,14,167.090031,8048.955446
20,4,15,0.0,0.0
20,4,16,56.36464,2818.231981
20,4,17,300.0,15869.493837
20,4,18,258.521823,12926.091152
20,4,19,300.0,15193.066887
20,4,20,221.114084,11055.704181
20,4,21,300.0,14117.257104
20,4,22,233.050698,11652.534893
20,4,23,256.731017,12836.550863
20,4,24,264.391412,12334.631325
20,5,1,258.307921,12874.4702
20,5,2,266.18203,13309.101515
20,5,3,300.0,13728.850714
20,5,4,300.0,14084.696115
20,5,5,248.261827,12413.091328
20,5,6,265.325927,13196.26614
20,5,7,300.0,15292.554696
20,5,8,300.0,12750.706403
20,5,9,195.929406,9796.470305
20,5,10,152.521621,7626.081045
20,5,11,0.0,0.0
20,5,12,104.638002,5231.900099
20,5,13,98.478325,4923.916228
20,5,14,161.314422,8065.721075
20,5,15,246.540752,12327.037594
20,5,16,41.678984,2083.949189
20,5,17,300.0,15545.594239
20,5,18,299.131955,12308.534556
20,5,19,300.0,15552.984073
20,5,20,300.0,15136.450175
20,5,21,300.0,14431.770897
20,5,22,300.0,15031.669435
20,5,23,243.838064,12191.903211
20,5,24,244.651883,12232.594156
20,6,1,260.941081,12693.447426
20,6,2,227.737462,11386.873088
20,6,3,300.0,15462.933536
20,6,4,300.0,15696.208554
20,6,5,251.179395,12454.001496
20,6,6,273.316925,13665.846259
20,6,7,125.897758,6294.887908
20,6,8,295.258417,14455.632026
20,6,9,0.0,0.0
20,6,10,0.0,0.0
20,6,11,0.0,0.0
20,6,12,0.0,0.0
20,6,13,102.388004,5119.400205
20,6,14,152.088938,7604.446887
20,6,15,210.691332,10534.566602
20,6,16,73.426592,3671.329608
20,6,17,300.0,13116.943558
20,6,18,300.0,16349.171411
20,6,19,269.963466,12412.431434
20,6,20,240.436661,12021.833027
20,6,21,270.067752,13503.387591
20,6,22,259.253804,12962.690202
20,6,23,252.700719,12635.035964
20,6,24,240.221659,12011.082956
20,7,1,262.289397,13114.469836
20,7,2,300.0,15460.187056
20,7,3,270.581815,12246.305495
20,7,4,300.0,14519.157181
20,7,5,300.0,15610.279638
20,7,6,300.0,14511.353613
20,7,7,300.0,14726.630579
20,7,8,291.045909,14177.571645
20,7,9,239.89898,11994.948988
20,7,10,0.0,0.0
20,7,11,119.550939,5977.546932
20,7,12,0.0,0.0
20,7,13,92.828709,4641.435436
20,7,14,0.0,0.0
20,7,15,198.477465,9923.873228
20,7,16,300.0,15245.846184
20,7,17,300.0,15319.976217
20,7,18,249.058377,12452.918855
20,7,19,300.0,12065.142413
20,7,20,300.0,14839.10704
20,7,21,244.790764,12239.538179
20,7,22,300.0,14957.314571
20,7,23,248.511514,12425.575721
20,7,24,300.0,14793.659595
20,8,1,242.442094,12122.104676
20,8,2,226.083036,11304.151798
20,8,3,213.271,10663.549997
20,8,4,300.0,15583.554918
20,8,5,251.549669,12577.483425
